title,address,access,age,floor,fee,management_fee,deposit,gratuity,floor_plan,area
コンフォリア西新宿,東京都新宿区北新宿１,"
東京メトロ丸ノ内線/西新宿駅 歩5分
ＪＲ中央線/大久保駅 歩8分
ＪＲ山手線/新宿駅 歩14分
","
築16年
15階建
","
											6階",16.3万円,10000円,16.3万円,-,1LDK,38.74m2
SYFORME HIGASHI-SHINJIKUIII,東京都新宿区新宿７,"
東京メトロ副都心線/東新宿駅 歩3分
都営大江戸線/東新宿駅 歩3分
ＪＲ山手線/新大久保駅 歩12分
","
築1年
5階建
","
											3階",11.15万円,10000円,-,11.15万円,2K,25.76m2
SYFORME HIGASHI-SHINJIKUIII,東京都新宿区新宿７,"
東京メトロ副都心線/東新宿駅 歩3分
都営大江戸線/東新宿駅 歩3分
ＪＲ山手線/新大久保駅 歩12分
","
築1年
5階建
","
											4階",13.8万円,-,-,13.8万円,2K,25.76m2
SYFORME HIGASHI SHINJUKU III,東京都新宿区新宿７,"
東京メトロ副都心線/東新宿駅 歩3分
都営大江戸線/若松河田駅 歩12分
ＪＲ山手線/新宿駅 歩20分
","
築1年
5階建
","
											3階",11.15万円,10000円,-,11.15万円,2K,25.76m2
プレール・ドゥーク東新宿III,東京都新宿区新宿６,"
東京メトロ副都心線/東新宿駅 歩6分
都営大江戸線/若松河田駅 歩6分
ＪＲ山手線/新宿駅 歩17分
","
築6年
13階建
","
											2階",10万円,8000円,-,10万円,ワンルーム,26.67m2
プレール・ドゥーク東新宿III,東京都新宿区新宿６,"
東京メトロ副都心線/東新宿駅 歩6分
都営大江戸線/若松河田駅 歩6分
ＪＲ山手線/新宿駅 歩17分
","
築6年
13階建
","
											3階",10.05万円,8000円,-,10.05万円,ワンルーム,26.67m2
プレール・ドゥーク東新宿III,東京都新宿区新宿６,"
東京メトロ副都心線/東新宿駅 歩6分
都営大江戸線/若松河田駅 歩6分
ＪＲ山手線/新宿駅 歩17分
","
築6年
13階建
","
											12階",10.3万円,8000円,-,10.3万円,1K,25.79m2
プレール・ドゥーク東新宿III,東京都新宿区新宿６,"
東京メトロ副都心線/東新宿駅 歩6分
都営大江戸線/若松河田駅 歩6分
ＪＲ山手線/新宿駅 歩17分
","
築6年
13階建
","
											10階",10.7万円,8000円,-,10.7万円,ワンルーム,26m2
プレール・ドゥーク東新宿III,東京都新宿区新宿６,"
東京メトロ副都心線/東新宿駅 歩6分
都営大江戸線/若松河田駅 歩6分
ＪＲ山手線/新宿駅 歩17分
","
築6年
13階建
","
											11階",16.3万円,8000円,-,16.3万円,1LDK,40.61m2
河田町ガーデン,東京都新宿区河田町,"
都営大江戸線/若松河田駅 歩6分
都営新宿線/曙橋駅 歩4分
東京メトロ丸ノ内線/四谷三丁目駅 歩15分
","
築20年
地下2地上41階建
","
											12階",18.35万円,10000円,-,-,1LDK,43.13m2
河田町ガーデン,東京都新宿区河田町,"
都営大江戸線/若松河田駅 歩6分
都営新宿線/曙橋駅 歩4分
東京メトロ丸ノ内線/四谷三丁目駅 歩15分
","
築20年
地下2地上41階建
","
											8階",18.62万円,10000円,-,-,1K,46.62m2
河田町ガーデン,東京都新宿区河田町,"
都営大江戸線/若松河田駅 歩6分
都営新宿線/曙橋駅 歩4分
東京メトロ丸ノ内線/四谷三丁目駅 歩15分
","
築20年
地下2地上41階建
","
											11階",20.8万円,10000円,-,20.8万円,1LDK,50.17m2
河田町ガーデン,東京都新宿区河田町,"
都営大江戸線/若松河田駅 歩6分
都営新宿線/曙橋駅 歩4分
東京メトロ丸ノ内線/四谷三丁目駅 歩15分
","
築20年
地下2地上41階建
","
											14階",21.26万円,10000円,21.26万円,21.26万円,1LDK,50.17m2
河田町ガーデン,東京都新宿区河田町,"
都営大江戸線/若松河田駅 歩6分
都営新宿線/曙橋駅 歩4分
東京メトロ丸ノ内線/四谷三丁目駅 歩15分
","
築20年
地下2地上41階建
","
											17階",21.72万円,10000円,-,21.72万円,1LDK,50.17m2
河田町ガーデン,東京都新宿区河田町,"
都営大江戸線/若松河田駅 歩6分
都営新宿線/曙橋駅 歩4分
東京メトロ丸ノ内線/四谷三丁目駅 歩15分
","
築20年
地下2地上41階建
","
											2階",21.92万円,10000円,-,21.92万円,1SLDK,55.68m2
河田町ガーデン,東京都新宿区河田町,"
都営大江戸線/若松河田駅 歩6分
都営新宿線/曙橋駅 歩4分
東京メトロ丸ノ内線/四谷三丁目駅 歩15分
","
築20年
地下2地上41階建
","
											6階",22.53万円,10000円,-,22.53万円,1SLDK,55.68m2
